FIELD,ORIENTATION,FOCUS,10-90 WIDTH,20-80 WIDTH,XPOS,YPOS
top,sagittal,+300,7.75,4.375,640,50
top,sagittal,+270,7.25,3.875,640,50
top,sagittal,+240,7.0,3.5,640,50
top,sagittal,+210,6.625,3.125,640,50
top,sagittal,+180,6.25,3.0,638,50
top,sagittal,+150,5.875,2.75,638,50
top,sagittal,+120,5.875,2.75,638,50
top,sagittal,+090,5.875,2.75,638,50
top,sagittal,+060,6.0,2.75,638,50
top,sagittal,+030,6.0,2.875,637,50
top,sagittal,-000,6.375,3.0,637,50
top,sagittal,-030,6.5,3.25,637,50
top,sagittal,-060,6.875,3.5,637,50
top,sagittal,-090,7.25,4.0,637,50
top,sagittal,-120,7.75,4.375,637,50
top,tangential,+300,7.0,3.875,640,50
top,tangential,+270,6.75,3.5,640,50
top,tangential,+240,6.5,3.25,640,50
top,tangential,+210,6.125,2.875,640,50
top,tangential,+180,6.0,2.875,640,47
top,tangential,+150,5.875,2.625,640,47
top,tangential,+120,5.75,2.625,640,46
top,tangential,+090,5.75,2.75,640,46
top,tangential,+060,6.0,2.75,641,44
top,tangential,+030,6.25,3.0,641,44
top,tangential,-000,6.5,3.0,641,44
top,tangential,-030,7.0,3.625,641,43
top,tangential,-060,7.5,3.875,641,43
top,tangential,-090,7.875,4.25,641,42
top,tangential,-120,8.25,4.5,641,41
top0.5,sagittal,+300,8.5,4.75,640,281
top0.5,sagittal,+270,8.125,4.25,640,281
top0.5,sagittal,+240,7.625,3.875,640,281
top0.5,sagittal,+210,7.125,3.5,640,281
top0.5,sagittal,+180,6.75,3.25,640,281
top0.5,sagittal,+150,6.375,3.0,640,281
top0.5,sagittal,+120,6.125,2.875,640,281
top0.5,sagittal,+090,6.0,2.75,640,281
top0.5,sagittal,+060,6.0,2.75,640,281
top0.5,sagittal,+030,6.0,2.75,640,281
top0.5,sagittal,-000,6.125,2.875,640,281
top0.5,sagittal,-030,6.375,3.125,640,281
top0.5,sagittal,-060,6.625,3.375,640,281
top0.5,sagittal,-090,7.0,3.75,640,281
top0.5,sagittal,-120,7.5,4.25,640,281
top0.5,tangential,+300,7.625,4.375,640,281
top0.5,tangential,+270,7.125,4.0,640,281
top0.5,tangential,+240,6.875,3.625,640,281
top0.5,tangential,+210,6.375,3.25,640,281
top0.5,tangential,+180,6.125,3.0,640,281
top0.5,tangential,+150,5.75,2.75,640,281
top0.5,tangential,+120,5.75,2.75,640,281
top0.5,tangential,+090,5.625,2.625,640,281
top0.5,tangential,+060,5.75,2.625,640,281
top0.5,tangential,+030,5.875,2.75,640,278
top0.5,tangential,-000,6.125,2.875,640,278
top0.5,tangential,-030,6.5,3.125,640,278
top0.5,tangential,-060,6.875,3.375,640,277
top0.5,tangential,-090,7.25,3.625,640,278
top0.5,tangential,-120,7.625,4.125,640,277
bottom,sagittal,+300,7.875,4.25,640,974
bottom,sagittal,+270,7.375,3.75,640,974
bottom,sagittal,+240,7.125,3.5,640,974
bottom,sagittal,+210,6.625,3.25,640,974
bottom,sagittal,+180,6.375,2.875,640,974
bottom,sagittal,+150,6.125,2.75,640,974
bottom,sagittal,+120,6.125,2.75,640,974
bottom,sagittal,+090,6.0,2.75,640,974
bottom,sagittal,+060,6.125,2.875,640,974
bottom,sagittal,+030,6.25,2.875,640,974
bottom,sagittal,-000,6.25,3.0,640,974
bottom,sagittal,-030,6.875,3.5,640,974
bottom,sagittal,-060,7.25,4.0,640,974
bottom,sagittal,-090,7.5,4.125,640,974
bottom,sagittal,-120,8.0,4.625,640,974
bottom,tangential,+300,7.625,4.25,641,964
bottom,tangential,+270,7.25,3.75,641,965
bottom,tangential,+240,6.75,3.5,641,966
bottom,tangential,+210,6.5,3.125,641,966
bottom,tangential,+180,6.0,2.875,641,967
